Fund,Fund Description,Department,Department Description,Business Unit,Business Unit Description,Object Account,Object Account Description,FY2010 Budgeted Revenues,FY2010 Actual Revenues,FY2011 Budgeted Revenues,FY2011 Actual Revenues,FY2012 Budgeted Revenues,FY2012 Actual Revenues,FY2013 Budgeted Revenues,FY2013 Actual Revenues,FY 14 Budgeted Revenues,FY 14 Actual Revenues,FY 15 Budgeted Revenues,FY 15 Actual Revenues,FY 16 Budgeted Revenues,FY 16 Actual Revenues,FY 17 Budgeted Revenues,FY 17 Actual Revenues,FY18 Budgeted Revenues,FY 18 Actual Revenues,FY 19 Budgeted Revenues,FY 19 Actual Revenues,FY2020 Budgeted Revenues,FY2020 Actual Revenues
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401294,Sundry Tax - Interest,0,0,0,0,0,0,0,-645.33,0.00,-63.60,0.00,-154.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401310,Real Property-C&M-prior,-379000,-123503.16,-330400,-103722.18,-327200,-173172.23,-201500,-220882.8,0.00,-147533.24,0.00,-108207.64,0.00,-81231.52,0.00,-55177.33,0.00,-78014.65,-55200.00,-46689.31,-78000,-26038.98
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401311,Real Property-Trustee-prior,0,0,0,0,0,0,0,515616.53,0.00,243282.37,0.00,-184490.74,0.00,-137300.41,0.00,-31335.00,0.00,-52874.60,-35900.00,84020.63,-35900,1130579.62
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401320,Personalty-Trustee-prior,0,154256.21,-332700,68657.71,0,-65264.29,-13500,-31075.44,-45600.00,70316.69,-44900.00,91275.80,-44900.00,-49282.15,-44400.00,1672.68,-47700.00,297562.90,-6700.00,-18547.60,-6700,-27008.6
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401324,Personalty - C&M Tax Lit Pri,0,-64904.77,-34300,-62710.05,-34000,-58819.92,-45100,-54927.8,-48100.00,-46120.21,-47400.00,-50537.31,-47400.00,-22198.40,-46800.00,-24268.67,-50300.00,-77387.96,-52900.00,-40351.18,-92200,-45750.51
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401330,PU-Trustee-prior,0,-79241.44,-77400,-28172.69,0,-1651.09,0,0,0.00,0.00,0.00,-9872.84,0.00,0.00,0.00,0.00,0.00,-61102.81,-61100.00,0.00,-61100,-24.24
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401334,PU - C&M Tax Lit Prior,0,-70799.63,-218600,-32678.07,-111700,-242.94,0,-2878,0.00,-3359.03,0.00,0.00,0.00,0.00,0.00,-12205.41,0.00,-3621.44,-12200.00,-271.46,-12200,-1423.65
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401510,Intrest/Penalty-Trustee,0,-726460.18,-476500,-540621.46,-350600,-541999.53,-724000,-633508.36,-611200.00,-702660.33,-625900.00,-606836.04,-625900.00,-693700.30,-629800.00,-595958.48,-586200.00,-508275.40,-596000.00,-652446.09,-303400,-305784.87
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401520,Intrest/Penalty-Collections,-55300,-551344.56,-294000,-437625.23,-291100,-536829.17,-455600,-383694.18,-377100.00,-542902.19,-489300.00,-449503.84,-489300.00,-398060.24,-466500.00,-332562.19,-434200.00,-456391.17,-404000.00,-235663.00,-344900,-86707.1
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401530,Intrest/Penalty-C&M,-500000,-359367.42,-488200,-264488.71,-483300,-406645.43,-260000,-355069.74,-626100.00,-291303.28,-355100.00,-173028.44,-355100.00,-239414.64,-179600.00,-199546.11,-167200.00,-248683.02,-173000.00,-166489.85,-304800,-139950.86
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401531,Attorney Fee-C&M,0,0,0,0,0,0,-600500,0,-809700.00,0.00,-687900.00,0.00,-687900.00,0.00,-538800.00,0.00,-501500.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401540,Tax Summons Fee,-115000,0,0,0,0,0,-96400,0,-131200.00,0.00,-131200.00,0.00,-131200.00,0.00,-111100.00,0.00,-103400.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401541,Tax summoms fee-personaly,0,0,0,0,0,0,-6000,0,-6900.00,0.00,-5400.00,0.00,-7700.00,0.00,-4900.00,0.00,-4600.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401542,Interest Prop Tax Sold,-1000000,-1357793.27,-1205000,-1355199.33,-1375800,-1080563.78,-1300000,-1074293.22,-1483300.00,-1132628.34,-1095800.00,-1105902.16,-1095800.00,-1186588.57,-1147800.00,-861868.70,-1068300.00,-982159.12,-861900.00,-1264608.04,-982200,-1229489.08
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401610,In Lieu-current,-19342200,-18951956.68,-20572500,-19757279.85,-21500000,-19492260.49,-20040100,-21961278.72,-20762000.00,-22292727.55,-22264300.00,-24857671.31,-23500000.00,-26716941.36,-27907100.00,-26401644.63,-29582300.00,-27123685.17,-30308200.00,-32325903.78,-32058900,-54801426.99
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,401960,Premium Prop Tax Sold,-600000,-1240898.59,-688700,-1297993.29,-1257900,-1106160.39,-1200000,-1335693.09,-814500.00,-1498659.24,-1362400.00,-1529884.58,-1362400.00,-1352806.73,-1587800.00,-795592.55,-1934600.00,-991657.29,-795600.00,-1313647.44,-991700,-2048063.23
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,402000,Local Option Sales Tax,-87964900,-79618164.99,-83853400,-81191512.11,-87428700,-91050593.43,-97671200,-97752469.62,-105588000.00,-102395434.95,-121738100.00,-124756121.50,-113311200.00,-112386238.60,-121560100.00,-117578530.04,-136381000.00,-133884975.38,-141331000.00,-141902355.29,-146962800,-113464491.48
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,402100,TN Telecommuncat'n Sales Tax,0,-47269.92,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403105,Motor Vehicle License,-22170000,-22910701.41,-22915400,-22466059.6,-22915900,-22874947.27,-22800100,-23001833.62,-23000000.00,-23388579.26,-23345000.00,-24605178.92,-23500000.00,-25706211.60,-25925900.00,-25816729.16,-27668900.00,-26093608.43,-27103300.00,-26145337.41,-27099800,-25805141.34
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403201,Commrcl Vhcle Whl Tx,-2820000,-2721456.18,-2610100,-2615296.49,-2659500,-2642986.89,-2695100,-2656499.45,-2695100.00,-3054340.57,-2722100.00,-3161202.75,-2790200.00,-3075184.25,-3220400.00,-3177816.79,-3296000.00,-3231759.11,-3335300.00,-3502437.30,-3567500,-3253801.76
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403202,Wholesale Beer Tax,-15500000,-13639413.12,-15500000,-15730685.64,-15809800,-18379645.51,-15840800,-17766922.31,-16316000.00,-17874828.67,-17847400.00,-18476575.49,-18204300.00,-19331206.84,-20063600.00,-19630123.02,-21211200.00,-19820616.92,-20813700.00,-20206924.21,-20973700,-19363780.83
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403203,AlcBev Privelege Tax,-172000,-150135,-202000,-151980.07,-155100,-461952.49,-290000,-451136.75,-450000.00,-394927.00,-456500.00,-432420.00,-458800.00,-462700.00,-492000.00,-483050.00,-510000.00,-487370.00,-528000.00,-521880.00,-529900,-414390
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403204,AlcBev Gross Rcpt Tax,-385400,-340320.42,-346700,-317464.37,-1045600,-310343.13,-520300,-280874.62,-438900.00,-271872.04,-571400.00,-563872.80,-470400.00,-612814.47,-633300.00,-513788.58,-680000.00,-930633.66,-260600.00,-2055162.54,-10133200,-7304857.4
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403206,Business Tax,-11000000,-8358961.49,-11000000,-12502240.36,-24560000,-24711011.9,-20890900,-25389601.97,-25457600.00,-28955140.09,-26499900.00,-31007425.75,-26700000.00,-33691518.43,-35415100.00,-35609962.00,-38848600.00,-34567460.85,-39942800.00,-41679698.68,-46600000,-45690697.24
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403208,Mineral Servernce Tax,-600000,-333523.72,-272700,-355535.39,-350200,-311812.32,-355500,-343782.65,-355500.00,-376468.64,-367300.00,-439851.35,-431300.00,-518498.95,-505400.00,-574649.34,-631600.00,-599693.77,-639600.00,-596565.21,-599700,-755035.6
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403217,Fantasy Sports Tax,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5947.93,0.00,-6458.91,-4700.00,-6705.40,-4700,-5718.81
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403301,Wholesale Liquor Tax,-3100000,-4016405.02,-3600000,-3868757.63,-3895000,-4174742.98,-3954400,-4523298.59,-3984800.00,-4594125.81,-4500000.00,-4890758.83,-4800000.00,-5312791.43,-5714700.00,-6116568.34,-6634300.00,-6318746.19,-6727200.00,-6927798.72,-7147800,-7513862.53
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403400,Franchises,-12000000,-9346483.07,-12000000,-9450579.64,-11200000,-7694661.82,-10160800,-8481214.4,-8364000.00,-10172739.15,-9444800.00,-11727289.75,-11238300.00,-8128265.65,-13549700.00,-8729963.14,-11010000.00,-10282710.44,-10732600.00,-10430393.68,-11054500,-8941670.2
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,403401,Franchises-Cable TV,-7000000,-7651917.02,-7000000,-7911991.48,-7815900,-8553962.11,-8400000,-9461256.08,-8568000.00,-8467113.87,-9508600.00,-8801470.60,-9376500.00,-8958537.33,-9749800.00,-8628676.77,-10042300.00,-8602461.70,-9040000.00,-8444805.29,-8653600,-7548531.4
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,404501,Vcnt Lot Cleanup Prog,-95000,-10141.2,0,-10306.04,0,-4268.9,0,-1429.92,0.00,-8413.21,0.00,-4984.37,0.00,-2597.54,0.00,-444.18,0.00,0.00,0.00,-3419.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,404800,Escheats,-16000,0,0,230,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,405311,Intrst-Savings,-31400,-13324.99,0,-14330.47,0,-15613.96,0,-49366.04,0.00,-47560.67,0.00,-57129.83,0.00,-73625.17,0.00,-141822.66,0.00,-282557.04,0.00,-379157.34,0,-153123.95
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,405470,Intrst-MIP,-345500,-36625.25,0,-5522.16,0,-5301.77,0,-6261.83,0.00,-63.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,405471,Interest-MIP,-204400,-0.09,0,0,0,0,0,-15724.3,0.00,-100065.94,0.00,-143596.94,0.00,-352096.13,0.00,-453015.81,0.00,-659011.56,0.00,-663586.15,0,13446.26
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,405472,Unrealized Gain/Loss MIP,0,0,0,0,0,0,0,0,0.00,-13156.38,0.00,-46208.24,0.00,-202006.40,0.00,-99202.21,0.00,-130336.63,0.00,-606884.55,0,-349968.82
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,405473,Realized Gain/Loss MIP,0,0,0,0,0,0,0,0,0.00,313.36,0.00,20437.17,0.00,6353.27,0.00,69528.15,0.00,104769.63,0.00,128283.11,0,259136.5
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,405800,Easement Rights,0,0,0,0,0,0,0,-15200,0.00,-15700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406100,Federal Direct,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47792.42,0.00,-16071.37,0.00,0.00,0,-83807.27
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406402,Alc Bev Tax Apportion,-500000,-597575.18,-556300,-677893.51,-566600,-603229.87,-600600,-677732.34,-621300.00,-775129.92,-677700.00,-743298.75,-750200.00,-813814.21,-858000.00,-838790.97,-940000.00,-792573.31,-903700.00,-917722.21,-1006900,-1076244.99
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406403,TN Telecomm Sales Tax,-70000,0,-50900,-35455.06,-51900,-37476.53,-50900,-53937.78,-50000.00,-61704.57,-60000.00,-59041.21,-64300.00,-51257.61,-61500.00,-45115.47,-57900.00,-770866.68,-820000.00,-656688.60,-770900,-693847.96
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406404,Gas & Fuel - Cnty,-6197800,-6032686.98,-6110200,-6189887.14,-6300000,-6102511.05,-6200900,-6068798.49,-6161000.00,-6107997.32,-6190200.00,-6253081.73,-6225400.00,-6529681.91,-6567600.00,-6621204.33,-7164700.00,-8046658.30,-8758700.00,-8539166.78,-8967300,-8642501.25
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406405,Gas & Fuel - City,-9204200,-9036090.1,-9150700,-9347597.53,-9450000,-9632576.47,-9656900,-9552554.41,-9694200.00,-9610012.36,-9743600.00,-9837493.23,-10482400.00,-10962650.26,-11271300.00,-10165682.26,-12307800.00,-12958674.70,-14153600.00,-14421506.12,-17114700,-15985331.37
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406406,Income Tax,-6000000,-7429921.25,-6235000,-9197297.49,-7292700,-7548513.65,-6836100,-11735303.28,-6902000.00,-12686346.85,-7925900.00,-15910271.93,-11000000.00,-14512267.90,-14000000.00,-12125226.29,-13767600.00,-11361068.64,-7334600.00,-10390560.38,-4957300,-8636724.73
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406407,TN Sales Tax Levy,-25292000,-25372383.09,-25000800,-26485432.34,-27000000,-29129836.15,-28566800,-29682434.9,-30295000.00,-30680404.07,-30922000.00,-32522926.62,-32966000.00,-34733145.71,-37000000.00,-35589644.38,-38658000.00,-36753159.79,-38998600.00,-39893664.69,-42089300,-40979250.36
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406408,TN Beer Tax Allocation,-231000,-214357.84,-220000,-225671.26,-226200,-229215.14,-247000,-230893.11,-230800.00,-221000.20,-233200.00,-223435.19,-230500.00,-228165.67,-235600.00,-225758.17,-239700.00,-218169.99,-230700.00,-226186.35,-228700,-228876.46
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406409,TN Excise Tax Allocation,-270000,-373112.2,-375000,-499482.65,-550000,-561411.76,-840500,-1120770.27,-589500.00,-4074157.94,-610500.00,-3678919.44,-1875000.00,-9278329.23,-4700000.00,-14982714.89,-15286200.00,-12285208.18,-12285200.00,-10862977.65,-12634000,-20194866.36
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406410,Gas Inspection Fees,-1300000,-1200305,-1296000,-1311148.74,-1296000,-1333538.02,-1300000,-1332048.69,-1339800.00,-1330966.94,-1345400.00,-1328195.64,-1351700.00,-1325817.98,-1378600.00,-1319530.94,-1369000.00,-1319554.23,-1315300.00,-1345292.80,-1342400,-1345174.03
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406442,State Fee-Report Conviction,0,0,0,0,0,-25,0,-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406603,MDHA,0,-4500,0,-10640,0,-9600,0,-2100,0.00,-4400.00,-5100.00,-5100.00,-6800.00,0.00,-8300.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406609,MTA,-85300,-85300,-57500,-92300,-64300,-55500,-7300,-7300,-7600.00,-7575.00,-89600.00,-90233.00,-110300.00,-110300.00,-113700.00,-104225.00,-122700.00,-121950.00,-140000.00,-138558.00,-140000,-140000
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406620,Hospital Authority,-4117300,-4117300,-4561500,-4318400,-4733600,-4625400,-4033900,-4033900,-4437300.00,-4426700.00,-5961500.00,-5961500.00,-5961500.00,-5961500.00,-5961500.00,-5961500.00,-5961500.00,-5961500.00,-5961500.00,-5961500.00,-5961500,-5961500
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,406621,Convention Center Authority,0,0,0,0,0,0,0,0,0.00,0.00,0.00,-700.04,0.00,-396000.00,0.00,-426100.00,-441600.00,-441600.00,-10441600.00,-10441600.00,-10441600,-15441600
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,407713,Foreign Trade Zone,-80000,-54999.98,-60000,-65999.96,-60000,-104500,-60000,-66000,0.00,-28500.00,0.00,-72500.00,0.00,-22000.00,0.00,-22000.00,0.00,-66000.00,-24900.00,-66000.00,-24900,-116500
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,407715,Business Tax Recording,0,17,0,0,0,10,0,0,0.00,7.00,0.00,-15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,407716,Business Tax Audit,0,0,0,0,0,-81.85,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,408603,Gain(Loss) Equip/Other,0,-196.74,0,-27000,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,408604,Gain(Loss) Real Property,0,-64422,0,-104666.75,0,-198122.36,0,-1559117.66,0.00,-393679.13,-800000.00,-2767068.28,-800000.00,-6328378.08,-1000000.00,-2127982.00,-5775000.00,4541.50,-10823700.00,-12464799.14,0,-45601
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,408701,Insurance Recovery,0,-353091.23,0,-36957.63,0,-40977.68,0,-106708.18,0.00,-69163.07,0.00,-61892.76,0.00,-28203.66,0.00,-71042.45,0.00,-88466.60,0.00,-90343.45,0,-103034.47
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,408702,External Source Recovery,0,-22352.61,0,-39845.15,0,-1039811.67,-1000000,-166184.86,0.00,-316801.06,0.00,-31608.02,0.00,-91440.73,0.00,-50498.12,0.00,-399593.00,0.00,-27690.63,0,-17596.56
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,408703,Subrogation Recovery,-100000,-2834.28,-100000,0,-100000,0,-100000,0,-100000.00,0.00,-100000.00,-300.00,-100000.00,-1098.70,-100000.00,0.00,-100000.00,0.00,-100000.00,-997.70,-100000,-369.92
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,408800,Rent,0,-13407,0,-13780,0,-13210,0,-14140,0.00,-33520.00,0.00,-72410.00,0.00,-82350.00,0.00,-102080.00,0.00,-107938.25,-80000.00,-56291.42,-80000,-13852.13
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,409300,Contribute-Group/Individual,0,0,0,0,0,0,0,-2278,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-300000.00,0,-1000
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,409505,Vending,0,-53918.64,0,-32714.33,0,2219.09,0,-11618.3,0.00,-33956.22,0.00,-35741.92,0.00,-27097.11,0.00,0.00,0.00,-67501.14,0.00,-47653.09,0,-43957.8
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,409506,Litigation Settlement,0,0,0,0,0,-1414,0,-3223.25,0.00,-1250.00,0.00,-4700.00,0.00,-46540.53,0.00,-1904.24,0.00,-1806781.44,0.00,-300.00,0,-121086.88
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,409514,Cost Reimbursement,0,-296372,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-223129.33,0.00,-507284.50,0.00,-550777.94,0,-372656.59
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,409517,Unclaimed Property,0,-92030.67,0,-11579.67,0,-13162.21,0,-5601.18,0.00,-50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,409518,Other,0,-4649.08,0,-49949.76,0,-12130.01,0,-7281.63,0.00,-7811.79,0.00,-185374.86,-800000.00,-4718.76,0.00,-49306.91,0.00,-51661.24,0.00,-1979.23,0,-46310.55
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431001,Transfer Operational,-80600,-0.84,-22980200,-23891790.38,-22341100,-22460802.71,-17345500,-18819196.44,-615300.00,-816866.35,-623400.00,-689704.60,-642800.00,-755527.82,-702600.00,-764004.00,-897800.00,-874533.48,-992900.00,-809796.55,-1770600,-2296372
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431003,Transfer Rent,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2902.12,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431005,Transfer Proprietary Funds,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2654904.45,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431026,Transfer GSR ISF,0,0,0,0,0,0,0,0,0.00,0.00,-990100.00,-1951732.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431103,Transfer Dept Indirect Admin,-406500,-582181.41,-488600,-639959.59,-401100,-286620.17,-144600,-305873.18,-144600.00,-266941.83,-88200.00,-250676.76,-101700.00,-264562.65,-95800.00,-302434.76,-120600.00,-321016.95,-111200.00,-327501.06,-103000,-307506.08
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431220,Transfer Police Service,-481000,-481000,-481000,-481000,-481000,-481000,-481000,-481000,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000.00,-481000,-481000
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431551,Transfer MNPS Fmly Rsc Ct,0,0,0,0,-32200,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431800,Transfer Hotel Occupancy,-5027900,-4394059.39,-5027900,-4552045.19,-4600000,-5669687.64,-5800000,-6156429.58,-6160100.00,-7490887.77,-7034500.00,-8841039.43,-9400000.00,-9741797.62,-10400000.00,-10813579.95,-11200000.00,-11745704.16,-12900000.00,-13055943.91,-13538200,-9599573.7
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,431809,Transfer HOT Short-term Rental,0,0,0,0,0,0,0,0,0.00,0.00,0.00,-59062.05,-50000.00,-318030.89,-170000.00,-605049.27,-400000.00,-1023994.14,-900000.00,-1499552.27,-1444200,-1176561.31
